domain,NS,IP
APARTMENTS,v0n3.nic.APARTMENTS.,161.232.14.56
APARTMENTS,v2n0.nic.APARTMENTS.,65.22.31.56
APARTMENTS,v0n1.nic.APARTMENTS.,65.22.29.56
ART,a.nic.ART.,194.169.218.49
ART,b.nic.ART.,185.24.64.49
ART,c.nic.ART.,212.18.248.49
ART,d.nic.ART.,212.18.249.49
ARAMCO,a.nic.ARAMCO.,37.209.192.9
ARAMCO,b.nic.ARAMCO.,37.209.194.9
ARAMCO,c.nic.ARAMCO.,37.209.196.9
ARAMCO,ns4.dns.nic.ARAMCO.,156.154.156.14
ARAMCO,ns6.dns.nic.ARAMCO.,156.154.158.14
ARAMCO,ns5.dns.nic.ARAMCO.,156.154.157.14
APPLE,a0.nic.APPLE.,65.22.60.1
APPLE,a2.nic.APPLE.,65.22.63.1
APPLE,b0.nic.APPLE.,65.22.61.1
APPLE,c0.nic.APPLE.,65.22.62.1
AR,ar.cctld.authdns.ripe.net.,193.0.9.59
AR,a.lactld.org.,200.0.68.10
AR,c.dns.AR.,200.108.148.50
AR,d.dns.AR.,192.140.126.50
AR,e.dns.AR.,170.238.66.50
AR,f.dns.AR.,130.59.31.20
ASDA,a2.nic.ASDA.,65.22.115.43
ASDA,c0.nic.ASDA.,65.22.114.43
ASDA,a0.nic.ASDA.,65.22.112.43
ASDA,b0.nic.ASDA.,65.22.113.43
ARTE,v0n1.nic.ARTE.,65.22.109.11
ARTE,v0n0.nic.ARTE.,65.22.108.11
ARTE,v2n1.nic.ARTE.,161.232.33.11
ARTE,v2n0.nic.ARTE.,65.22.111.11
ARTE,v0n3.nic.ARTE.,161.232.32.11
ARTE,v0n2.nic.ARTE.,65.22.110.11
ARCHI,b0.nic.ARCHI.,65.22.85.1
ARCHI,a2.nic.ARCHI.,65.22.87.1
ARCHI,a0.nic.ARCHI.,65.22.84.1
ARCHI,c0.nic.ARCHI.,65.22.86.1
AS,pch.nic.AS.,204.61.216.111
AS,ns1.asnic.biz.,213.248.219.254
AS,ns2.asnic.info.,103.49.83.254
AS,ns3.asnic.org.,213.248.223.254
AS,ns4.asnic.uk.,43.230.51.254
AS,ns5.asnic.us.,194.146.106.86
ANQUAN,ns2.teleinfoo.com.,103.61.61.1
ANQUAN,ns4.teleinfoo.com.,103.61.63.1
ANQUAN,ns1.teleinfo.cn.,103.61.60.1
ANQUAN,ns3.teleinfo.cn.,103.61.62.1
ARMY,v2n1.nic.ARMY.,161.232.15.59
ARMY,v0n0.nic.ARMY.,65.22.28.59
ARMY,v0n1.nic.ARMY.,65.22.29.59
ARMY,v0n2.nic.ARMY.,65.22.30.59
ARMY,v0n3.nic.ARMY.,161.232.14.59
ARMY,v2n0.nic.ARMY.,65.22.31.59
ARPA,i.ns.ARPA.,192.36.148.17
ARPA,e.ns.ARPA.,192.203.230.10
ARPA,m.ns.ARPA.,202.12.27.33
ARPA,k.ns.ARPA.,193.0.14.129
ARPA,f.ns.ARPA.,192.5.5.241
ARPA,h.ns.ARPA.,198.97.190.53
ARPA,g.ns.ARPA.,192.112.36.4
ARPA,b.ns.ARPA.,170.247.170.2
ARPA,l.ns.ARPA.,199.7.83.42
ARPA,a.ns.ARPA.,198.41.0.4
ARPA,d.ns.ARPA.,199.7.91.13
ARPA,c.ns.ARPA.,192.33.4.12
ASIA,c0.asia.afilias-nst.info.,199.254.29.1
ASIA,b0.asia.afilias-nst.ASIA.,199.254.28.1
ASIA,a2.asia.afilias-nst.info.,199.249.114.1
ASIA,d0.asia.afilias-nst.ASIA.,199.254.30.1
ASIA,a0.asia.afilias-nst.info.,199.19.55.1
ASIA,b2.asia.afilias-nst.org.,199.249.122.1
ASSOCIATES,v2n1.nic.ASSOCIATES.,161.232.15.27
ASSOCIATES,v2n0.nic.ASSOCIATES.,65.22.31.27
ASSOCIATES,v0n2.nic.ASSOCIATES.,65.22.30.27
ASSOCIATES,v0n0.nic.ASSOCIATES.,65.22.28.27
ASSOCIATES,v0n1.nic.ASSOCIATES.,65.22.29.27
ASSOCIATES,v0n3.nic.ASSOCIATES.,161.232.14.27
AU,s.AU.,65.22.198.1
AU,t.AU.,65.22.199.1
AU,a.AU.,58.65.254.1
AU,q.AU.,65.22.196.1
AU,r.AU.,65.22.197.1
ATHLETA,b.nic.ATHLETA.,37.209.194.9
ATHLETA,ns1.dns.nic.ATHLETA.,156.154.144.16
ATHLETA,ns3.dns.nic.ATHLETA.,156.154.159.16
ATHLETA,a.nic.ATHLETA.,37.209.192.9
ATHLETA,c.nic.ATHLETA.,37.209.196.9
ATHLETA,ns2.dns.nic.ATHLETA.,156.154.145.16
AUDIO,a.nic.AUDIO.,194.169.218.150
AUDIO,b.nic.AUDIO.,185.24.64.150
AUDIO,c.nic.AUDIO.,212.18.248.150
AUDIO,d.nic.AUDIO.,212.18.249.150
ATTORNEY,v0n3.nic.ATTORNEY.,161.232.10.20
ATTORNEY,v0n1.nic.ATTORNEY.,65.22.21.20
ATTORNEY,v2n0.nic.ATTORNEY.,65.22.23.20
ATTORNEY,v2n1.nic.ATTORNEY.,161.232.11.20
ATTORNEY,v0n0.nic.ATTORNEY.,65.22.20.20
ATTORNEY,v0n2.nic.ATTORNEY.,65.22.22.20
AUSPOST,y.nic.AUSPOST.,156.154.173.82
AUSPOST,a.nic.AUSPOST.,37.209.192.9
AUSPOST,x.nic.AUSPOST.,156.154.172.82
AUSPOST,b.nic.AUSPOST.,37.209.194.9
AUSPOST,c.nic.AUSPOST.,37.209.196.9
AUSPOST,z.nic.AUSPOST.,156.154.174.82
AUTO,a.nic.AUTO.,194.169.218.131
AUTO,c.nic.AUTO.,212.18.248.131
AUTO,d.nic.AUTO.,212.18.249.131
AUTO,b.nic.AUTO.,185.24.64.131
AUTOS,a.nic.AUTOS.,194.169.218.136
AUTOS,b.nic.AUTOS.,185.24.64.136
AUTOS,c.nic.AUTOS.,212.18.248.136
AUTOS,d.nic.AUTOS.,212.18.249.136
AUDI,a2.nic.AUDI.,65.22.211.17
AUDI,b0.nic.AUDI.,65.22.209.17
AUDI,c0.nic.AUDI.,65.22.210.17
AUDI,a0.nic.AUDI.,65.22.208.17
AUCTION,v0n0.nic.AUCTION.,65.22.32.55
AUCTION,v0n2.nic.AUCTION.,65.22.34.55
AUCTION,v2n0.nic.AUCTION.,65.22.35.55
AUCTION,v0n1.nic.AUCTION.,65.22.33.55
AUCTION,v2n1.nic.AUCTION.,161.232.17.55
AUCTION,v0n3.nic.AUCTION.,161.232.16.55
AT,n.ns.AT.,81.91.173.130
AT,r.ns.AT.,194.0.25.10
AT,ns9.univie.ac.AT.,194.0.10.100
AT,ns2.univie.ac.AT.,192.92.125.2
AT,ns1.univie.ac.AT.,78.104.144.2
AT,u.ns.AT.,185.102.12.2
AT,j.ns.AT.,194.146.106.50
AT,d.ns.AT.,81.91.161.98
AZ,az.hostmaster.ua.,195.47.253.13
AZ,rip.psg.com.,147.28.0.39
AZ,ns3.intrans.AZ.,148.251.2.246
AXA,ns3.dns.nic.AXA.,156.154.159.20
AXA,a.nic.AXA.,37.209.192.9
AXA,b.nic.AXA.,37.209.194.9
AXA,c.nic.AXA.,37.209.196.9
AXA,ns1.dns.nic.AXA.,156.154.144.20
AXA,ns2.dns.nic.AXA.,156.154.145.20
AUDIBLE,dnsb.nic.AUDIBLE.,156.154.101.3
AUDIBLE,dnsc.nic.AUDIBLE.,156.154.102.3
AUDIBLE,dnsd.nic.AUDIBLE.,156.154.103.3
AUDIBLE,dns1.nic.AUDIBLE.,213.248.218.56
AUDIBLE,dns2.nic.AUDIBLE.,103.49.82.56
AUDIBLE,dns3.nic.AUDIBLE.,213.248.222.56
AUDIBLE,dns4.nic.AUDIBLE.,43.230.50.56
AUDIBLE,dnsa.nic.AUDIBLE.,156.154.100.3
AWS,dnsa.nic.AWS.,156.154.100.3
AWS,dnsb.nic.AWS.,156.154.101.3
AWS,dnsc.nic.AWS.,156.154.102.3
AWS,dnsd.nic.AWS.,156.154.103.3
AWS,dns1.nic.AWS.,213.248.218.53
AWS,dns2.nic.AWS.,103.49.82.53
AWS,dns3.nic.AWS.,213.248.222.53
AWS,dns4.nic.AWS.,43.230.50.53
AUTHOR,dnsb.nic.AUTHOR.,156.154.101.3
AUTHOR,dnsc.nic.AUTHOR.,156.154.102.3
AUTHOR,dns2.nic.AUTHOR.,103.49.82.60
AUTHOR,dnsa.nic.AUTHOR.,156.154.100.3
